Instance,"Best of all (IVF)","Best of all (GA)","Best mean (IVF)","Best mean (GA)","Worst of all (IVF)","Worst of all (GA)","Populations fitness mean (IVF)","Populations fitness mean (GA)","Population size (IVF)","Population size (GA)","Interval mean (IVF)","Interval mean (GA)","Evaluations mean (IVF)","Evaluations mean (GA)"
ft06.txt,55,55,56,57,140,156,87,87,72,72,1,1,89637,72072
ft10.txt,1143,1156,1171,1185,2511,2630,1722,1716,200,200,34,27,249970,200200
ft20.txt,1435,1497,1476,1525,2848,3090,2078,2088,200,200,34,27,249857,200200
la01.txt,669,691,713,705,1669,1850,1046,1055,100,100,4,3,124698,100100
la02.txt,710,709,746,744,1621,1814,1066,1089,100,100,4,4,124829,100100
la03.txt,643,655,684,682,1454,1656,984,996,100,100,4,3,124695,100100
la04.txt,610,640,675,658,1565,1669,1001,1007,100,100,4,3,124761,100100
la05.txt,593,593,593,593,1380,1519,872,891,100,100,4,3,124695,100100
la06.txt,926,926,953,944,2019,2439,1366,1369,150,150,14,12,186765,150150
la07.txt,951,933,982,971,1992,2222,1404,1412,150,150,15,12,186800,150150
la08.txt,885,923,942,943,2035,2361,1366,1381,150,150,14,12,186860,150150
la09.txt,951,955,979,994,2160,2391,1426,1429,150,150,14,12,186901,150150
la10.txt,958,958,958,959,2023,2233,1337,1357,150,150,14,12,186853,150150
la11.txt,1233,1259,1286,1303,2471,2764,1750,1753,200,200,34,27,249896,200200
la12.txt,1065,1075,1072,1087,2248,2515,1547,1550,200,200,34,27,249959,200200
la13.txt,1151,1187,1217,1214,2437,2771,1696,1700,200,200,34,27,249973,200200
la14.txt,1292,1292,1292,1292,2576,2802,1737,1739,200,200,34,27,249867,200200
la15.txt,1347,1347,1404,1388,2653,2928,1891,1890,200,200,34,27,249894,200200
