Instance,"Best of all (IVF)","Best of all (GA)","Best mean (IVF)","Best mean (GA)","Worst of all (IVF)","Worst of all (GA)","Populations fitness mean (IVF)","Populations fitness mean (GA)","Population size (IVF)","Population size (GA)","Interval mean (IVF)","Interval mean (GA)","Evaluations mean (IVF)","Evaluations mean (GA)"
ft06.txt,55,55,55,55,134,145,82,82,72,72,1,1,89596,72072
ft10.txt,1082,1111,1163,1145,2383,2573,1665,1671,200,200,34,27,249837,200200
ft20.txt,1355,1420,1474,1493,2759,3025,2012,2025,200,200,34,27,249988,200200
la01.txt,666,666,679,693,1584,1790,1003,1021,100,100,4,3,124673,100100
la02.txt,681,713,707,749,1514,1715,1028,1029,100,100,4,3,124709,100100
la03.txt,618,649,646,673,1448,1645,938,948,100,100,4,3,124737,100100
la04.txt,616,619,631,651,1476,1648,940,959,100,100,4,3,124805,100100
la05.txt,593,593,593,593,1358,1482,821,823,100,100,4,3,124615,100100
la06.txt,926,926,926,938,1929,2228,1299,1307,150,150,15,12,186734,150150
la07.txt,907,936,958,952,1982,2096,1341,1349,150,150,15,12,186806,150150
la08.txt,863,886,907,915,1976,2182,1310,1318,150,150,15,12,186865,150150
la09.txt,951,951,951,970,2031,2299,1362,1373,150,150,15,12,186748,150150
la10.txt,958,958,958,958,2050,2079,1299,1307,150,150,15,12,186689,150150
la11.txt,1222,1230,1238,1273,2461,2631,1690,1703,200,200,34,27,249738,200200
la12.txt,1039,1039,1048,1067,2218,2430,1484,1487,200,200,34,27,249933,200200
la13.txt,1150,1150,1170,1200,2311,2556,1640,1637,200,200,34,27,249910,200200
la14.txt,1292,1292,1292,1292,2425,2795,1680,1691,200,200,34,27,249831,200200
la15.txt,1315,1342,1351,1375,2584,2927,1831,1844,200,200,34,27,249967,200200
