Instance,"Best of all (IVF)","Best of all (GA)","Best mean (IVF)","Best mean (GA)","Worst of all (IVF)","Worst of all (GA)","Populations fitness mean (IVF)","Populations fitness mean (GA)","Population size (IVF)","Population size (GA)","Interval mean (IVF)","Interval mean (GA)","Evaluations mean (IVF)","Evaluations mean (GA)"
ft06.txt,55,55,56,57,140,150,82,84,72,72,1,1,89620,72072
ft10.txt,1152,1169,1176,1206,2474,2631,1667,1676,200,200,34,27,249989,200200
ft20.txt,1494,1448,1525,1547,2792,3127,2025,2036,200,200,34,27,250007,200200
la01.txt,675,680,701,718,1599,1898,1018,1019,100,100,4,3,124780,100100
la02.txt,728,718,745,741,1590,1701,1033,1038,100,100,4,3,124726,100100
la03.txt,652,655,685,688,1435,1629,959,961,100,100,4,3,124708,100100
la04.txt,635,642,660,663,1522,1789,967,972,100,100,4,3,124666,100100
la05.txt,593,593,593,593,1360,1501,831,835,100,100,4,3,124658,100100
la06.txt,926,940,950,954,2040,2151,1317,1317,150,150,15,12,186728,150150
la07.txt,955,956,986,988,1958,2274,1360,1358,150,150,15,12,186801,150150
la08.txt,905,912,950,939,1950,2361,1327,1327,150,150,15,12,186812,150150
la09.txt,962,957,985,993,2042,2338,1373,1381,150,150,15,12,186865,150150
la10.txt,958,958,961,965,2066,2200,1307,1311,150,150,15,12,186913,150150
la11.txt,1245,1243,1286,1285,2379,2653,1700,1703,200,200,34,27,249844,200200
la12.txt,1039,1080,1082,1103,2258,2591,1502,1499,200,200,34,27,249814,200200
la13.txt,1174,1190,1208,1217,2388,2710,1639,1652,200,200,34,27,249789,200200
la14.txt,1292,1292,1292,1293,2524,2861,1682,1691,200,200,34,27,249893,200200
la15.txt,1363,1371,1405,1410,2616,2884,1837,1846,200,200,34,27,249983,200200
