Instance,"Best of all (IVF)","Best of all (GA)","Best mean (IVF)","Best mean (GA)","Worst of all (IVF)","Worst of all (GA)","Populations fitness mean (IVF)","Populations fitness mean (GA)","Population size (IVF)","Population size (GA)","Interval mean (IVF)","Interval mean (GA)","Evaluations mean (IVF)","Evaluations mean (GA)"
ft06.txt,55,55,55,57,135,150,83,84,72,72,1,1,89677,72072
ft10.txt,1173,1130,1217,1213,2520,2572,1669,1678,200,200,34,27,249965,200200
ft20.txt,1495,1493,1518,1544,2829,3063,2034,2030,200,200,34,27,250013,200200
la01.txt,680,689,693,710,1573,1748,1016,1017,100,100,4,3,124710,100100
la02.txt,732,725,752,748,1646,1697,1039,1039,100,100,4,3,124679,100100
la03.txt,662,670,689,683,1395,1597,953,956,100,100,4,3,124673,100100
la04.txt,637,639,674,675,1455,1618,972,982,100,100,4,3,124674,100100
la05.txt,593,593,593,593,1300,1559,828,840,100,100,4,3,124707,100100
la06.txt,926,939,948,961,2010,2220,1303,1315,150,150,14,12,186933,150150
la07.txt,955,956,974,978,2108,2165,1353,1361,150,150,15,12,186710,150150
la08.txt,927,908,935,931,1981,2184,1331,1330,150,150,15,12,186807,150150
la09.txt,954,974,980,982,2175,2347,1375,1375,150,150,14,12,186890,150150
la10.txt,958,958,960,958,1960,2172,1311,1312,150,150,15,12,186935,150150
la11.txt,1247,1266,1281,1285,2536,2622,1695,1707,200,200,34,27,249903,200200
la12.txt,1049,1055,1100,1094,2203,2426,1497,1500,200,200,34,27,249803,200200
la13.txt,1159,1196,1205,1232,2566,2602,1649,1639,200,200,34,27,250108,200200
la14.txt,1292,1292,1292,1292,2442,2565,1688,1697,200,200,34,27,249729,200200
la15.txt,1369,1342,1421,1411,2531,3031,1843,1841,200,200,34,27,250044,200200
