Instance,"Best of all (IVF)","Best of all (GA)","Best mean (IVF)","Best mean (GA)","Worst of all (IVF)","Worst of all (GA)","Populations fitness mean (IVF)","Populations fitness mean (GA)","Population size (IVF)","Population size (GA)","Interval mean (IVF)","Interval mean (GA)","Evaluations mean (IVF)","Evaluations mean (GA)"
ft06.txt,55,55,55,55,146,147,69,69,72,72,1,1,89642,72072
ft10.txt,969,961,1001,1018,2445,2498,1374,1243,200,200,33,26,249882,200200
ft20.txt,1185,1180,1253,1254,2776,2982,1473,1462,200,200,34,27,249982,200200
la01.txt,666,666,666,671,1699,1737,799,823,100,100,4,3,124693,100100
la02.txt,655,655,672,677,1561,1651,849,878,100,100,4,3,124635,100100
la03.txt,605,603,621,618,1450,1596,765,802,100,100,4,3,124689,100100
la04.txt,590,590,606,609,1512,1607,738,841,100,100,4,3,124712,100100
la05.txt,593,593,593,593,1479,1417,698,698,100,100,4,3,124618,100100
la06.txt,926,926,926,926,2080,2078,1110,1118,150,150,14,11,186689,150150
la07.txt,890,890,890,890,1986,2124,1111,1110,150,150,15,11,186799,150150
la08.txt,863,863,863,863,2123,2083,1066,1138,150,150,15,11,186776,150150
la09.txt,951,951,951,951,2120,2342,1216,1114,150,150,14,12,186861,150150
la10.txt,958,958,958,958,2029,2065,1186,1194,150,150,14,11,186669,150150
la11.txt,1222,1222,1222,1222,2621,2605,1515,1441,200,200,34,27,249775,200200
la12.txt,1039,1039,1039,1039,2189,2308,1182,1216,200,200,34,27,249835,200200
la13.txt,1150,1150,1150,1150,2374,2497,1313,1317,200,200,34,27,249881,200200
la14.txt,1292,1292,1292,1292,2553,2584,1450,1428,200,200,34,27,249823,200200
la15.txt,1207,1207,1209,1207,2655,2810,1449,1464,200,200,34,27,249791,200200
