Instance,"Best of all (IVF)","Best of all (GA)","Best mean (IVF)","Best mean (GA)","Worst of all (IVF)","Worst of all (GA)","Populations fitness mean (IVF)","Populations fitness mean (GA)","Population size (IVF)","Population size (GA)","Interval mean (IVF)","Interval mean (GA)","Evaluations mean (IVF)","Evaluations mean (GA)"
ft06.txt,55,55,55,55,132,149,82,77,72,72,2,1,89612,72072
ft10.txt,1023,1002,1189,1046,2405,2586,1654,1623,200,200,33,27,249822,200200
ft20.txt,1305,1208,1370,1282,2807,3073,1966,1880,200,200,34,27,250030,200200
la01.txt,666,666,670,680,1582,1804,979,958,100,100,4,3,124699,100100
la02.txt,665,665,702,674,1512,1684,1006,999,100,100,4,3,124715,100100
la03.txt,617,603,635,627,1434,1785,939,907,100,100,4,3,124724,100100
la04.txt,607,590,632,619,1612,1682,937,919,100,100,4,3,124693,100100
la05.txt,593,593,593,593,1350,1512,809,774,100,100,4,3,124652,100100
la06.txt,926,926,926,926,1908,2240,1284,1248,150,150,15,12,186735,150150
la07.txt,890,890,925,908,1967,2100,1306,1283,150,150,15,12,186851,150150
la08.txt,863,863,888,873,1919,2251,1298,1227,150,150,15,12,186794,150150
la09.txt,951,951,954,951,2070,2378,1333,1332,150,150,14,12,186799,150150
la10.txt,958,958,958,958,1912,2153,1293,1199,150,150,15,12,186750,150150
la11.txt,1222,1222,1230,1222,2419,2693,1659,1650,200,200,34,27,249912,200200
la12.txt,1039,1039,1053,1039,2203,2479,1467,1432,200,200,34,27,249814,200200
la13.txt,1150,1150,1178,1150,2410,2624,1597,1603,200,200,34,27,249821,200200
la14.txt,1292,1292,1292,1292,2511,2750,1658,1588,200,200,34,27,249769,200200
la15.txt,1244,1207,1312,1241,2568,2829,1829,1778,200,200,34,27,249738,200200
