Instance,"Best of all (IVF)","Best of all (GA)","Best mean (IVF)","Best mean (GA)","Worst of all (IVF)","Worst of all (GA)","Populations fitness mean (IVF)","Populations fitness mean (GA)","Population size (IVF)","Population size (GA)","Interval mean (IVF)","Interval mean (GA)","Evaluations mean (IVF)","Evaluations mean (GA)"
ft06.txt,55,55,55,55,139,152,78,73,72,72,2,1,89638,72072
ft10.txt,972,996,1065,1047,2454,2554,1546,1603,200,200,34,26,249828,200200
ft20.txt,1220,1246,1351,1315,2766,2996,1735,1990,200,200,35,28,249825,200200
la01.txt,666,666,669,667,1663,1713,903,959,100,100,4,3,124695,100100
la02.txt,663,655,687,684,1752,1670,924,974,100,100,4,3,124722,100100
la03.txt,617,609,626,645,1468,1590,850,904,100,100,4,3,124693,100100
la04.txt,590,590,604,597,1518,1661,806,930,100,100,4,3,124665,100100
la05.txt,593,593,593,593,1391,1548,803,725,100,100,4,4,124637,100100
la06.txt,926,926,926,926,2027,2180,1195,1259,150,150,15,12,186666,150150
la07.txt,890,890,890,891,1957,2109,1234,1330,150,150,14,11,186812,150150
la08.txt,863,863,863,863,2044,2209,1250,1268,150,150,15,12,186868,150150
la09.txt,951,951,951,951,2145,2304,1211,1320,150,150,15,12,186873,150150
la10.txt,958,958,958,958,2051,2290,1248,1287,150,150,14,11,186728,150150
la11.txt,1222,1222,1222,1222,2458,2733,1557,1614,200,200,34,27,249794,200200
la12.txt,1039,1039,1039,1039,2260,2328,1447,1483,200,200,34,27,249853,200200
la13.txt,1150,1150,1150,1150,2450,2611,1612,1571,200,200,34,27,249892,200200
la14.txt,1292,1292,1292,1292,2437,2663,1582,1631,200,200,34,27,249856,200200
la15.txt,1207,1207,1207,1246,2691,2906,1629,1774,200,200,35,27,250144,200200
