Instance,"Best of all (IVF)","Best of all (GA)","Best mean (IVF)","Best mean (GA)","Worst of all (IVF)","Worst of all (GA)","Populations fitness mean (IVF)","Populations fitness mean (GA)","Population size (IVF)","Population size (GA)","Interval mean (IVF)","Interval mean (GA)","Evaluations mean (IVF)","Evaluations mean (GA)"
ft06.txt,55,55,56,57,129,147,83,83,72,72,1,1,89629,72072
ft10.txt,1145,1164,1203,1200,2365,2572,1671,1681,200,200,34,27,250015,200200
ft20.txt,1502,1509,1539,1539,2859,3195,2023,2028,200,200,34,27,249991,200200
la01.txt,679,678,710,700,1528,1904,1016,1026,100,100,4,3,124711,100100
la02.txt,722,730,756,749,1559,1709,1035,1039,100,100,4,4,124722,100100
la03.txt,662,660,689,684,1436,1602,955,962,100,100,4,3,124716,100100
la04.txt,633,651,676,676,1461,1640,977,976,100,100,4,3,124697,100100
la05.txt,593,593,593,593,1347,1506,831,836,100,100,4,3,124655,100100
la06.txt,926,928,939,952,2063,2112,1311,1314,150,150,15,12,186797,150150
la07.txt,956,968,989,991,1962,2115,1357,1359,150,150,15,12,186776,150150
la08.txt,923,920,949,947,2016,2167,1322,1327,150,150,15,12,186951,150150
la09.txt,951,956,986,989,2012,2234,1373,1382,150,150,15,12,186846,150150
la10.txt,958,958,958,960,2040,2242,1306,1309,150,150,15,12,186738,150150
la11.txt,1245,1268,1285,1292,2468,2612,1696,1702,200,200,34,27,249817,200200
la12.txt,1054,1078,1095,1099,2220,2441,1494,1496,200,200,34,27,249856,200200
la13.txt,1159,1170,1221,1202,2307,2620,1640,1650,200,200,34,27,249930,200200
la14.txt,1292,1292,1292,1292,2460,2593,1683,1689,200,200,34,27,249808,200200
la15.txt,1379,1384,1406,1420,2587,2948,1842,1848,200,200,34,27,249836,200200
