Instance,"Best of all (IVF)","Best of all (GA)","Best mean (IVF)","Best mean (GA)","Worst of all (IVF)","Worst of all (GA)","Populations fitness mean (IVF)","Populations fitness mean (GA)","Population size (IVF)","Population size (GA)","Interval mean (IVF)","Interval mean (GA)","Evaluations mean (IVF)","Evaluations mean (GA)"
ft06.txt,55,55,55,57,139,160,87,88,72,72,1,1,89688,72072
ft10.txt,1156,1156,1225,1227,2405,2681,1714,1721,200,200,33,27,249916,200200
ft20.txt,1467,1447,1501,1489,2881,3176,2070,2088,200,200,34,27,249919,200200
la01.txt,681,678,701,711,1781,1856,1048,1053,100,100,4,3,124682,100100
la02.txt,718,727,737,745,1587,1802,1071,1082,100,100,4,3,124730,100100
la03.txt,648,662,678,680,1475,1640,987,996,100,100,4,3,124678,100100
la04.txt,634,632,658,665,1524,1707,992,1009,100,100,4,3,124791,100100
la05.txt,593,593,593,593,1365,1585,865,887,100,100,4,3,124697,100100
la06.txt,927,933,946,965,2037,2318,1359,1370,150,150,14,12,186866,150150
la07.txt,973,980,1000,1006,2056,2181,1405,1409,150,150,15,12,186777,150150
la08.txt,917,920,947,967,2087,2250,1364,1375,150,150,15,12,186859,150150
la09.txt,958,972,973,982,2196,2345,1422,1432,150,150,14,12,186830,150150
la10.txt,958,958,958,958,2039,2263,1338,1349,150,150,14,12,186829,150150
la11.txt,1255,1267,1286,1282,2484,2750,1746,1753,200,200,34,27,249918,200200
la12.txt,1059,1072,1086,1093,2370,2508,1547,1551,200,200,34,27,250150,200200
la13.txt,1182,1164,1203,1205,2449,2723,1690,1704,200,200,34,27,249900,200200
la14.txt,1292,1292,1292,1292,2529,2745,1739,1737,200,200,34,27,250110,200200
la15.txt,1368,1353,1396,1416,2730,2836,1885,1893,200,200,34,27,249836,200200
