Instance,"Best of all (IVF)","Best of all (GA)","Best mean (IVF)","Best mean (GA)","Worst of all (IVF)","Worst of all (GA)","Populations fitness mean (IVF)","Populations fitness mean (GA)","Population size (IVF)","Population size (GA)","Interval mean (IVF)","Interval mean (GA)","Evaluations mean (IVF)","Evaluations mean (GA)"
ft06.txt,55,56,56,57,134,148,83,85,72,72,1,1,89608,72072
ft10.txt,1145,1174,1202,1211,2399,2582,1664,1676,200,200,34,27,249882,200200
ft20.txt,1494,1478,1524,1554,2807,2985,2025,2032,200,200,34,28,250090,200200
la01.txt,677,678,709,709,1600,1771,1020,1024,100,100,4,3,124751,100100
la02.txt,718,735,760,752,1539,1754,1026,1035,100,100,4,3,124675,100100
la03.txt,666,664,679,691,1419,1564,959,961,100,100,4,3,124722,100100
la04.txt,619,649,663,664,1566,1613,973,979,100,100,4,3,124666,100100
la05.txt,593,593,593,593,1359,1476,828,830,100,100,4,3,124713,100100
la06.txt,929,926,945,946,1940,2290,1305,1311,150,150,15,12,186813,150150
la07.txt,968,975,999,983,1972,2088,1350,1364,150,150,15,12,186871,150150
la08.txt,891,919,940,938,1971,2336,1319,1329,150,150,15,12,186832,150150
la09.txt,967,957,987,983,2012,2197,1368,1387,150,150,15,12,186886,150150
la10.txt,958,958,958,959,1974,2272,1312,1317,150,150,15,12,186702,150150
la11.txt,1258,1259,1279,1286,2394,2760,1702,1699,200,200,34,27,249930,200200
la12.txt,1041,1072,1103,1091,2154,2387,1499,1498,200,200,34,27,250027,200200
la13.txt,1187,1193,1210,1202,2382,2657,1646,1651,200,200,34,27,249988,200200
la14.txt,1292,1292,1292,1292,2452,2613,1690,1699,200,200,34,27,249920,200200
la15.txt,1391,1391,1430,1406,2796,2806,1841,1842,200,200,34,27,249922,200200
