Instance,"Best of all (IVF)","Best of all (GA)","Best mean (IVF)","Best mean (GA)","Worst of all (IVF)","Worst of all (GA)","Populations fitness mean (IVF)","Populations fitness mean (GA)","Population size (IVF)","Population size (GA)","Interval mean (IVF)","Interval mean (GA)","Evaluations mean (IVF)","Evaluations mean (GA)"
ft06.txt,55,57,59,57,145,148,64,63,72,72,2,1,89588,72072
ft10.txt,1182,1190,1210,1265,2467,2561,1307,1357,200,200,33,27,249826,200200
ft20.txt,1504,1514,1560,1566,2859,2978,1660,1668,200,200,35,28,249858,200200
la01.txt,675,675,704,730,1606,1719,771,797,100,100,4,3,124637,100100
la02.txt,720,751,780,765,1571,1708,835,826,100,100,4,3,124696,100100
la03.txt,683,674,698,683,1434,1608,749,743,100,100,4,3,124606,100100
la04.txt,653,653,689,695,1459,1662,748,759,100,100,4,3,124681,100100
la05.txt,593,593,593,593,1346,1516,644,649,100,100,4,3,124661,100100
la06.txt,934,940,973,973,1916,2222,1045,1053,150,150,15,12,186733,150150
la07.txt,986,978,1023,1014,1938,2183,1096,1090,150,150,15,12,186674,150150
la08.txt,906,950,961,975,1937,2129,1037,1057,150,150,15,12,186737,150150
la09.txt,959,957,1023,999,2091,2250,1100,1083,150,150,15,12,186736,150150
la10.txt,958,958,977,968,1935,2208,1047,1049,150,150,15,12,186657,150150
la11.txt,1275,1283,1296,1309,2379,2807,1381,1395,200,200,35,27,249753,200200
la12.txt,1083,1067,1117,1130,2216,2446,1200,1213,200,200,34,27,249777,200200
la13.txt,1213,1189,1249,1238,2336,2618,1334,1328,200,200,35,27,249707,200200
la14.txt,1292,1292,1294,1295,2420,2765,1378,1384,200,200,35,27,249757,200200
la15.txt,1399,1386,1442,1428,2597,2794,1525,1519,200,200,34,28,249728,200200
