Instance,"Best of all (IVF)","Best of all (GA)","Best mean (IVF)","Best mean (GA)","Worst of all (IVF)","Worst of all (GA)","Populations fitness mean (IVF)","Populations fitness mean (GA)","Population size (IVF)","Population size (GA)","Interval mean (IVF)","Interval mean (GA)","Evaluations mean (IVF)","Evaluations mean (GA)"
ft06.txt,55,55,56,56,136,160,85,90,72,72,1,1,89636,72072
ft10.txt,1148,1162,1210,1229,2456,2713,1710,1719,200,200,34,27,250074,200200
ft20.txt,1507,1517,1535,1555,2935,3066,2073,2081,200,200,34,27,249771,200200
la01.txt,681,687,692,718,1642,1821,1050,1058,100,100,4,4,124714,100100
la02.txt,714,724,747,754,1596,1755,1067,1084,100,100,4,3,124704,100100
la03.txt,654,668,678,688,1483,1703,988,995,100,100,4,3,124707,100100
la04.txt,627,651,660,674,1551,1721,992,1005,100,100,4,3,124713,100100
la05.txt,593,593,593,593,1376,1560,876,888,100,100,4,3,124662,100100
la06.txt,928,927,943,949,2178,2244,1359,1365,150,150,15,12,186816,150150
la07.txt,973,957,997,981,2200,2311,1395,1420,150,150,15,12,186836,150150
la08.txt,913,931,960,946,2017,2255,1366,1369,150,150,15,12,186710,150150
la09.txt,951,951,983,984,2164,2418,1415,1439,150,150,15,12,186847,150150
la10.txt,958,958,958,960,1988,2205,1340,1346,150,150,15,12,186882,150150
la11.txt,1231,1269,1283,1304,2505,2790,1747,1762,200,200,34,27,249907,200200
la12.txt,1047,1081,1074,1094,2264,2658,1544,1548,200,200,34,27,249800,200200
la13.txt,1189,1188,1207,1218,2448,2792,1696,1701,200,200,34,28,249932,200200
la14.txt,1292,1292,1292,1292,2559,2772,1731,1735,200,200,34,27,249859,200200
la15.txt,1349,1379,1383,1420,2793,2816,1887,1887,200,200,34,27,249806,200200
