Instance,"Best of all (IVF)","Best of all (GA)","Best mean (IVF)","Best mean (GA)","Worst of all (IVF)","Worst of all (GA)","Populations fitness mean (IVF)","Populations fitness mean (GA)","Population size (IVF)","Population size (GA)","Interval mean (IVF)","Interval mean (GA)","Evaluations mean (IVF)","Evaluations mean (GA)"
ft06.txt,55,55,55,55,138,166,83,85,72,72,2,1,89618,72072
ft10.txt,1059,1131,1115,1167,2422,2706,1693,1690,200,200,34,26,249782,200200
ft20.txt,1299,1356,1413,1459,2975,3106,2026,2004,200,200,35,27,249881,200200
la01.txt,666,666,675,685,1569,1839,988,1017,100,100,4,3,124779,100100
la02.txt,684,691,688,727,1540,1764,1034,1061,100,100,4,3,124793,100100
la03.txt,632,626,649,654,1498,1716,957,965,100,100,4,3,124775,100100
la04.txt,607,613,624,624,1525,1710,957,932,100,100,4,3,124733,100100
la05.txt,593,593,593,593,1380,1518,831,724,100,100,4,3,124692,100100
la06.txt,926,926,926,933,1985,2203,1315,1336,150,150,15,11,186664,150150
la07.txt,892,919,913,944,2004,2166,1347,1360,150,150,15,11,186758,150150
la08.txt,863,890,893,927,1992,2230,1334,1343,150,150,15,12,186752,150150
la09.txt,951,951,951,962,2109,2360,1372,1391,150,150,15,12,186815,150150
la10.txt,958,958,958,958,2060,2199,1315,1305,150,150,15,12,186836,150150
la11.txt,1222,1238,1242,1280,2517,2770,1729,1736,200,200,34,27,249840,200200
la12.txt,1039,1041,1058,1088,2312,2407,1503,1518,200,200,35,27,250069,200200
la13.txt,1150,1150,1182,1190,2444,2740,1664,1677,200,200,34,27,249873,200200
la14.txt,1292,1292,1292,1292,2534,2842,1712,1689,200,200,34,27,249908,200200
la15.txt,1263,1302,1322,1357,2667,2783,1858,1840,200,200,34,27,249909,200200
