Instance,"Best of all (IVF)","Best of all (GA)","Best mean (IVF)","Best mean (GA)","Worst of all (IVF)","Worst of all (GA)","Populations fitness mean (IVF)","Populations fitness mean (GA)","Population size (IVF)","Population size (GA)","Interval mean (IVF)","Interval mean (GA)","Evaluations mean (IVF)","Evaluations mean (GA)"
ft06.txt,57,55,58,57,137,158,62,63,72,72,2,1,89589,72072
ft10.txt,1185,1169,1244,1236,2414,2655,1334,1350,200,200,33,27,249964,200200
ft20.txt,1469,1457,1567,1514,2930,3017,1665,1975,200,200,35,27,249915,200200
la01.txt,694,686,710,717,1601,1807,776,787,100,100,4,3,124754,100100
la02.txt,750,736,777,783,1552,1814,834,840,100,100,4,3,124615,100100
la03.txt,679,682,700,706,1402,1588,753,762,100,100,4,3,124681,100100
la04.txt,648,660,688,702,1486,1660,751,765,100,100,4,3,124629,100100
la05.txt,593,593,593,594,1282,1499,643,650,100,100,4,3,124624,100100
la06.txt,931,926,967,956,2014,2320,1041,1035,150,150,15,12,186853,150150
la07.txt,982,976,998,1002,1974,2216,1074,1084,150,150,14,12,186792,150150
la08.txt,936,936,965,955,2000,2250,1042,1039,150,150,15,12,186743,150150
la09.txt,951,966,1002,987,2060,2269,1081,1073,150,150,14,12,186730,150150
la10.txt,958,958,964,979,1926,2194,1039,1061,150,150,15,12,186791,150150
la11.txt,1263,1266,1298,1301,2437,2781,1383,1621,200,200,34,27,249815,200200
la12.txt,1085,1085,1113,1102,2164,2420,1196,1207,200,200,34,27,249877,200200
la13.txt,1197,1188,1224,1222,2323,2604,1313,1448,200,200,34,27,249927,200200
la14.txt,1292,1292,1292,1292,2486,2723,1378,1600,200,200,35,27,249938,200200
la15.txt,1388,1383,1433,1419,2617,2855,1516,1645,200,200,34,27,249825,200200
