Instance,"Best of all (IVF)","Best of all (GA)","Best mean (IVF)","Best mean (GA)","Worst of all (IVF)","Worst of all (GA)","Populations fitness mean (IVF)","Populations fitness mean (GA)","Population size (IVF)","Population size (GA)","Interval mean (IVF)","Interval mean (GA)","Evaluations mean (IVF)","Evaluations mean (GA)"
ft06.txt,55,55,55,55,136,151,74,81,72,72,1,1,89634,72072
ft10.txt,988,1036,1032,1125,2409,2580,1576,1663,200,200,34,27,250044,200200
ft20.txt,1261,1255,1285,1367,2927,3201,1817,1910,200,200,34,27,250154,200200
la01.txt,666,666,666,668,1699,1823,922,971,100,100,4,3,124674,100100
la02.txt,663,659,681,673,1515,1789,958,982,100,100,4,3,124735,100100
la03.txt,603,613,628,642,1529,1565,856,890,100,100,4,3,124703,100100
la04.txt,590,593,617,614,1553,1630,898,878,100,100,4,3,124733,100100
la05.txt,593,593,593,593,1335,1476,742,799,100,100,4,3,124672,100100
la06.txt,926,926,926,927,1923,2238,1229,1289,150,150,15,12,186814,150150
la07.txt,890,890,891,930,1942,2139,1237,1323,150,150,14,11,186815,150150
la08.txt,863,863,866,889,2026,2208,1218,1252,150,150,14,12,186758,150150
la09.txt,951,951,951,955,2115,2280,1274,1335,150,150,14,11,186694,150150
la10.txt,958,958,958,958,2000,2377,1235,1280,150,150,15,12,186697,150150
la11.txt,1222,1222,1222,1222,2427,2669,1619,1682,200,200,34,27,249857,200200
la12.txt,1039,1039,1039,1043,2187,2432,1424,1482,200,200,34,27,249884,200200
la13.txt,1150,1150,1150,1157,2293,2524,1569,1619,200,200,34,27,249848,200200
la14.txt,1292,1292,1292,1292,2449,2720,1637,1677,200,200,34,27,249758,200200
la15.txt,1207,1255,1242,1295,2583,2779,1731,1821,200,200,34,27,249924,200200
