Instance,"Best of all (IVF)","Best of all (GA)","Best mean (IVF)","Best mean (GA)","Worst of all (IVF)","Worst of all (GA)","Populations fitness mean (IVF)","Populations fitness mean (GA)","Population size (IVF)","Population size (GA)","Interval mean (IVF)","Interval mean (GA)","Evaluations mean (IVF)","Evaluations mean (GA)"
ft06.txt,55,55,56,57,139,149,83,83,72,72,1,1,89606,72072
ft10.txt,1140,1109,1203,1197,2428,2707,1674,1669,200,200,34,27,249937,200200
ft20.txt,1451,1492,1514,1533,2728,3000,2025,2031,200,200,34,27,249840,200200
la01.txt,683,692,697,703,1553,1731,1025,1034,100,100,4,3,124726,100100
la02.txt,691,724,745,753,1520,1760,1038,1038,100,100,4,4,124699,100100
la03.txt,641,647,663,667,1423,1632,953,954,100,100,4,3,124716,100100
la04.txt,627,633,677,658,1484,1678,975,974,100,100,4,3,124758,100100
la05.txt,593,593,593,593,1355,1452,823,835,100,100,4,3,124690,100100
la06.txt,926,934,947,953,1980,2121,1313,1314,150,150,14,11,186771,150150
la07.txt,960,969,981,1008,1976,2239,1357,1362,150,150,15,12,186839,150150
la08.txt,892,903,918,939,1932,2149,1320,1329,150,150,15,12,186791,150150
la09.txt,951,952,971,989,2226,2319,1371,1382,150,150,15,11,186851,150150
la10.txt,958,958,961,959,2030,2204,1302,1313,150,150,15,12,186834,150150
la11.txt,1250,1237,1274,1276,2512,2654,1696,1696,200,200,34,27,249964,200200
la12.txt,1056,1064,1064,1082,2207,2356,1491,1495,200,200,34,27,249978,200200
la13.txt,1156,1172,1200,1193,2335,2663,1639,1647,200,200,34,27,249739,200200
la14.txt,1292,1292,1292,1292,2513,2792,1684,1685,200,200,34,27,249863,200200
la15.txt,1338,1365,1367,1410,2584,2942,1837,1841,200,200,34,27,249946,200200
