Instance,"Best of all (IVF)","Best of all (GA)","Best mean (IVF)","Best mean (GA)","Worst of all (IVF)","Worst of all (GA)","Populations fitness mean (IVF)","Populations fitness mean (GA)","Population size (IVF)","Population size (GA)","Interval mean (IVF)","Interval mean (GA)","Evaluations mean (IVF)","Evaluations mean (GA)"
ft06.txt,55,55,56,55,134,148,69,70,72,72,1,1,89589,72072
ft10.txt,967,963,992,1047,2356,2684,1262,1435,200,200,34,27,249714,200200
ft20.txt,1218,1180,1251,1255,2839,3417,1516,1603,200,200,34,27,249897,200200
la01.txt,666,666,679,666,1636,1705,841,814,100,100,4,3,124625,100100
la02.txt,655,655,686,666,1554,1805,872,865,100,100,4,3,124658,100100
la03.txt,597,603,623,617,1455,1655,783,782,100,100,4,3,124637,100100
la04.txt,590,590,606,600,1484,1650,776,767,100,100,4,3,124647,100100
la05.txt,593,593,593,593,1410,1447,719,719,100,100,4,3,124614,100100
la06.txt,926,926,926,926,1984,2120,1085,1118,150,150,15,12,186695,150150
la07.txt,890,890,890,890,1930,2110,1094,1073,150,150,14,11,186731,150150
la08.txt,863,863,863,863,2011,2138,1047,1124,150,150,14,12,186661,150150
la09.txt,951,951,951,951,2089,2299,1133,1128,150,150,15,12,186722,150150
la10.txt,958,958,958,958,2085,2261,1142,1116,150,150,15,12,186821,150150
la11.txt,1222,1222,1222,1222,2386,2695,1453,1402,200,200,34,27,249878,200200
la12.txt,1039,1039,1039,1039,2226,2464,1263,1237,200,200,34,27,249947,200200
la13.txt,1150,1150,1150,1150,2455,2576,1385,1376,200,200,34,27,249802,200200
la14.txt,1292,1292,1292,1292,2517,2697,1474,1489,200,200,34,27,249735,200200
la15.txt,1207,1207,1211,1207,2529,2842,1467,1503,200,200,34,27,249967,200200
