Instance,"Best of all (IVF)","Best of all (GA)","Best mean (IVF)","Best mean (GA)","Worst of all (IVF)","Worst of all (GA)","Populations fitness mean (IVF)","Populations fitness mean (GA)","Population size (IVF)","Population size (GA)","Interval mean (IVF)","Interval mean (GA)","Evaluations mean (IVF)","Evaluations mean (GA)"
ft06.txt,55,55,56,57,145,145,82,84,72,72,1,1,89623,72072
ft10.txt,1164,1172,1200,1216,2331,2640,1670,1672,200,200,33,27,249794,200200
ft20.txt,1470,1481,1518,1543,2841,3037,2025,2026,200,200,34,27,249889,200200
la01.txt,687,668,707,709,1660,1811,1023,1021,100,100,4,3,124717,100100
la02.txt,728,727,764,763,1740,1746,1040,1035,100,100,4,3,124681,100100
la03.txt,655,668,678,690,1482,1555,954,964,100,100,4,3,124663,100100
la04.txt,632,648,666,670,1493,1638,970,983,100,100,4,3,124758,100100
la05.txt,593,593,593,593,1318,1448,831,831,100,100,4,3,124640,100100
la06.txt,928,936,956,954,2054,2106,1305,1320,150,150,15,12,186684,150150
la07.txt,951,972,997,995,2019,2183,1355,1363,150,150,15,12,186794,150150
la08.txt,906,928,944,947,2018,2165,1322,1329,150,150,14,11,186659,150150
la09.txt,957,951,972,989,2111,2347,1377,1384,150,150,14,12,186867,150150
la10.txt,958,958,959,961,1954,2197,1308,1321,150,150,14,12,186725,150150
la11.txt,1252,1269,1270,1290,2442,2637,1697,1700,200,200,34,27,249988,200200
la12.txt,1052,1077,1072,1101,2185,2359,1493,1504,200,200,34,27,250028,200200
la13.txt,1179,1197,1192,1215,2353,2643,1648,1644,200,200,34,27,249905,200200
la14.txt,1292,1292,1292,1292,2419,2744,1684,1692,200,200,34,27,249741,200200
la15.txt,1359,1371,1407,1390,2759,2805,1839,1847,200,200,34,27,250049,200200
