Instance,"Best of all (IVF)","Best of all (GA)","Best mean (IVF)","Best mean (GA)","Worst of all (IVF)","Worst of all (GA)","Populations fitness mean (IVF)","Populations fitness mean (GA)","Population size (IVF)","Population size (GA)","Interval mean (IVF)","Interval mean (GA)","Evaluations mean (IVF)","Evaluations mean (GA)"
ft06.txt,55,55,55,55,133,154,79,79,72,72,1,1,89607,72072
ft10.txt,980,1005,1020,1053,2407,2638,1580,1642,200,200,33,27,249823,200200
ft20.txt,1252,1303,1267,1347,2765,3053,1817,1948,200,200,34,27,249938,200200
la01.txt,666,666,671,666,1585,1728,927,967,100,100,4,3,124789,100100
la02.txt,658,657,671,693,1590,1703,920,1006,100,100,4,3,124729,100100
la03.txt,604,619,628,627,1416,1632,873,900,100,100,4,3,124632,100100
la04.txt,595,598,610,611,1491,1787,880,914,100,100,4,3,124679,100100
la05.txt,593,593,593,593,1347,1540,774,779,100,100,4,3,124701,100100
la06.txt,926,926,926,926,2033,2169,1270,1275,150,150,14,11,186724,150150
la07.txt,890,890,890,912,1899,2161,1250,1271,150,150,14,12,186920,150150
la08.txt,863,863,863,868,2008,2342,1235,1266,150,150,14,11,186736,150150
la09.txt,951,951,951,951,2100,2314,1283,1358,150,150,14,11,186841,150150
la10.txt,958,958,958,958,1943,2238,1235,1258,150,150,14,12,186805,150150
la11.txt,1222,1222,1222,1222,2571,2796,1644,1674,200,200,34,27,249831,200200
la12.txt,1039,1039,1039,1039,2152,2374,1413,1469,200,200,34,27,249913,200200
la13.txt,1150,1150,1150,1150,2384,2574,1586,1607,200,200,34,27,249781,200200
la14.txt,1292,1292,1292,1292,2433,2791,1635,1673,200,200,34,27,249913,200200
la15.txt,1209,1231,1239,1297,2703,2855,1784,1813,200,200,34,27,249882,200200
