Instance,"Best of all (IVF)","Best of all (GA)","Best mean (IVF)","Best mean (GA)","Worst of all (IVF)","Worst of all (GA)","Populations fitness mean (IVF)","Populations fitness mean (GA)","Population size (IVF)","Population size (GA)","Interval mean (IVF)","Interval mean (GA)","Evaluations mean (IVF)","Evaluations mean (GA)"
ft06.txt,57,57,57,58,136,149,62,63,72,72,2,1,89581,72072
ft10.txt,1179,1204,1250,1258,2473,2633,1337,1351,200,200,33,27,249700,200200
ft20.txt,1482,1547,1554,1566,2869,3343,1653,1670,200,200,34,27,249806,200200
la01.txt,706,715,745,728,1543,1753,805,795,100,100,4,3,124601,100100
la02.txt,757,747,764,773,1567,1714,821,835,100,100,4,3,124635,100100
la03.txt,675,680,708,685,1440,1612,762,747,100,100,4,3,124625,100100
la04.txt,661,632,689,697,1457,1717,747,760,100,100,4,3,124628,100100
la05.txt,593,593,593,593,1365,1484,641,648,100,100,4,3,124639,100100
la06.txt,940,937,975,968,2086,2296,1046,1046,150,150,15,11,186729,150150
la07.txt,993,999,1024,1024,1984,2257,1092,1100,150,150,14,11,186757,150150
la08.txt,938,947,969,972,2000,2207,1043,1052,150,150,15,12,186705,150150
la09.txt,991,960,1005,1008,2116,2331,1084,1090,150,150,14,11,186728,150150
la10.txt,958,958,978,964,1956,2360,1049,1044,150,150,14,12,186742,150150
la11.txt,1257,1276,1320,1322,2435,2730,1399,1410,200,200,34,27,249743,200200
la12.txt,1063,1098,1110,1127,2225,2497,1191,1212,200,200,34,27,249819,200200
la13.txt,1210,1219,1256,1247,2455,2641,1340,1338,200,200,34,27,249721,200200
la14.txt,1292,1292,1292,1306,2488,2698,1377,1394,200,200,34,27,249783,200200
la15.txt,1416,1340,1450,1419,2735,2758,1537,1512,200,200,34,27,249934,200200
