Instance,"Best of all (IVF)","Best of all (GA)","Best mean (IVF)","Best mean (GA)","Worst of all (IVF)","Worst of all (GA)","Populations fitness mean (IVF)","Populations fitness mean (GA)","Population size (IVF)","Population size (GA)","Interval mean (IVF)","Interval mean (GA)","Evaluations mean (IVF)","Evaluations mean (GA)"
ft06.txt,55,55,55,55,146,146,80,82,72,72,1,1,89637,72072
ft10.txt,1085,1097,1133,1165,2304,2621,1669,1673,200,200,33,27,249864,200200
ft20.txt,1343,1431,1407,1515,2939,3042,2001,2018,200,200,34,27,250104,200200
la01.txt,666,666,674,688,1571,1832,999,1020,100,100,4,3,124767,100100
la02.txt,669,699,729,731,1537,1671,1022,1031,100,100,4,3,124648,100100
la03.txt,619,626,651,654,1426,1621,940,955,100,100,4,3,124751,100100
la04.txt,598,614,634,630,1523,1697,938,944,100,100,4,3,124720,100100
la05.txt,593,593,593,593,1456,1497,820,824,100,100,4,3,124670,100100
la06.txt,926,926,926,933,2022,2198,1291,1301,150,150,14,12,186850,150150
la07.txt,893,930,931,968,1917,2218,1335,1344,150,150,14,12,186800,150150
la08.txt,863,885,907,929,2001,2151,1310,1316,150,150,15,12,186846,150150
la09.txt,951,951,954,964,2221,2474,1359,1370,150,150,15,12,186880,150150
la10.txt,958,958,958,958,1993,2129,1297,1303,150,150,14,12,186742,150150
la11.txt,1222,1234,1231,1264,2501,2641,1691,1694,200,200,34,27,249956,200200
la12.txt,1039,1039,1059,1075,2194,2335,1487,1487,200,200,34,27,250026,200200
la13.txt,1150,1150,1154,1185,2475,2602,1626,1651,200,200,34,27,250006,200200
la14.txt,1292,1292,1292,1292,2396,2884,1677,1687,200,200,34,27,249995,200200
la15.txt,1298,1315,1357,1348,2652,2762,1821,1838,200,200,34,27,249904,200200
