Instance,"Best of all (IVF)","Best of all (GA)","Best mean (IVF)","Best mean (GA)","Worst of all (IVF)","Worst of all (GA)","Populations fitness mean (IVF)","Populations fitness mean (GA)","Population size (IVF)","Population size (GA)","Interval mean (IVF)","Interval mean (GA)","Evaluations mean (IVF)","Evaluations mean (GA)"
ft06.txt,55,55,55,55,139,155,77,77,72,72,1,1,89597,72072
ft10.txt,977,986,1050,1033,2461,2548,1470,1408,200,200,34,27,249874,200200
ft20.txt,1196,1202,1267,1256,2817,3060,1608,1724,200,200,34,27,249963,200200
la01.txt,666,666,668,671,1675,1824,906,861,100,100,4,3,124616,100100
la02.txt,663,655,667,676,1640,1626,911,901,100,100,4,3,124788,100100
la03.txt,606,611,616,622,1508,1550,796,855,100,100,4,3,124687,100100
la04.txt,593,595,601,607,1574,1616,843,881,100,100,4,3,124728,100100
la05.txt,593,593,593,593,1420,1445,798,792,100,100,4,3,124652,100100
la06.txt,926,926,926,926,1972,2253,1219,1162,150,150,14,11,186766,150150
la07.txt,890,890,893,892,1955,2089,1192,1171,150,150,14,11,186788,150150
la08.txt,863,863,863,863,2087,2085,1178,1180,150,150,14,11,186864,150150
la09.txt,951,951,951,951,2135,2248,1249,1305,150,150,14,12,186719,150150
la10.txt,958,958,958,958,2065,2281,1222,1209,150,150,14,12,186756,150150
la11.txt,1222,1222,1222,1222,2487,2599,1452,1531,200,200,34,27,249896,200200
la12.txt,1039,1039,1039,1039,2351,2341,1417,1342,200,200,34,27,249789,200200
la13.txt,1150,1150,1150,1150,2457,2556,1390,1487,200,200,33,27,249852,200200
la14.txt,1292,1292,1292,1292,2565,2691,1561,1642,200,200,34,27,249782,200200
la15.txt,1207,1207,1207,1223,2769,2806,1482,1689,200,200,34,27,249891,200200
