Instance,"Best of all (IVF)","Best of all (GA)","Best mean (IVF)","Best mean (GA)","Worst of all (IVF)","Worst of all (GA)","Populations fitness mean (IVF)","Populations fitness mean (GA)","Population size (IVF)","Population size (GA)","Interval mean (IVF)","Interval mean (GA)","Evaluations mean (IVF)","Evaluations mean (GA)"
ft06.txt,55,55,55,55,142,152,82,71,72,72,1,1,89585,72072
ft10.txt,982,983,1058,1037,2359,2610,1566,1459,200,200,33,26,249837,200200
ft20.txt,1240,1185,1338,1301,2903,3028,1881,1765,200,200,34,27,250134,200200
la01.txt,666,666,671,677,1563,1731,965,944,100,100,4,3,124668,100100
la02.txt,676,655,722,668,1578,1696,987,868,100,100,4,3,124703,100100
la03.txt,613,597,627,634,1473,1581,907,854,100,100,4,3,124637,100100
la04.txt,598,590,614,606,1428,1695,939,808,100,100,4,3,124758,100100
la05.txt,593,593,593,593,1353,1554,802,747,100,100,4,3,124606,100100
la06.txt,926,926,926,926,1942,2151,1261,1193,150,150,14,12,186662,150150
la07.txt,890,890,924,897,2046,2245,1290,1173,150,150,14,12,186692,150150
la08.txt,863,863,875,863,1925,2259,1269,1203,150,150,15,12,186789,150150
la09.txt,951,951,951,951,2058,2266,1338,1225,150,150,14,12,186708,150150
la10.txt,958,958,958,958,2003,2210,1268,1134,150,150,14,12,186661,150150
la11.txt,1222,1222,1222,1222,2449,2755,1590,1592,200,200,34,27,249863,200200
la12.txt,1039,1039,1039,1039,2171,2468,1458,1320,200,200,34,27,249820,200200
la13.txt,1150,1150,1150,1150,2367,2639,1564,1490,200,200,34,27,249861,200200
la14.txt,1292,1292,1292,1292,2421,2668,1644,1543,200,200,34,27,249763,200200
la15.txt,1207,1207,1244,1207,2597,2870,1742,1584,200,200,34,27,250083,200200
